810,410,0,0
706,345,0,23
706,319,0,23
706,293,0,23
726,388,0,19
708,404,-1,0
700,388,-90,19
752,388,-90,19
797,305,-90,22
793,309,0,22
793,335,0,22
788,356,-1,0
775,319,180,23
775,345,180,23
740,362,180,23
691,282,180,18
679,227,180,6
679,175,180,6
693,144,180,17
654,115,180,16
692,106,180,16
732,84,-1,0
766,69,-90,23
752,80,-1,0
740,69,0,23
793,94,0,21
793,120,0,21
812,116,-1,0
793,146,90,21
775,137,180,23
775,111,180,23
775,85,180,23
775,189,180,23
775,241,180,23
775,267,180,23
775,163,180,23
812,180,-1,0
793,172,0,21
793,198,0,21
775,215,-90,23
793,224,0,21
793,68,0,21
706,85,0,23
618,144,0,17
604,164,-90,6
630,164,-90,6
629,130,-90,17
464,98,-90,4
438,98,-90,4
412,98,0,4
477,106,0,5
477,54,0,5
468,68,-1,0
483,118,90,5
492,140,-1,0
472,162,180,4
474,164,-90,6
266,164,-90,6
240,164,-90,6
188,164,-90,6
202,105,-90,3
164,132,-1,0
186,72,90,2
186,139,90,3
207,107,90,2
233,107,90,2
228,124,-1,0
228,105,-90,3
284,92,-1,0
254,105,0,3
186,113,0,3
186,98,0,2
186,165,0,3
420,156,-1,0
386,175,90,4
311,107,90,2
352,136,90,4
364,148,-1,0
292,164,-90,6
316,156,-1,0
344,164,-90,6
323,139,-90,3
332,72,-90,2
306,105,-90,3
360,98,-90,4
372,116,-1,0
352,110,0,4
284,116,-1,0
366,52,90,1
496,52,90,1
428,68,-1,0
392,52,180,1
323,113,180,3
332,98,180,2
472,110,180,4
535,118,180,5
593,106,180,5
572,132,-1,0
561,118,90,5
509,118,90,5
628,115,90,16
680,115,90,16
724,108,-1,0
706,111,0,23
655,130,0,17
706,137,0,23
706,163,0,23
700,204,-1,0
681,211,90,17
656,239,90,6
630,239,90,6
613,334,90,18
588,347,90,10
562,347,90,10
351,347,90,8
377,347,90,8
403,347,90,8
458,404,90,11
510,404,90,11
484,404,90,11
588,404,90,11
613,386,0,18
613,360,0,18
613,308,0,18
613,282,0,18
613,256,0,18
652,234,0,18
536,278,0,10
448,286,0,10
238,286,0,8
247,278,-90,8
300,292,-1,0
284,291,180,7
140,348,-1,0
172,392,180,12
180,404,90,9
157,368,90,9
206,404,90,9
252,404,-1,0
234,388,0,13
276,404,-1,0
86,388,0,12
60,372,-1,0
68,356,-1,0
92,340,-1,0
157,342,0,9
157,283,0,7
172,292,-1,0
162,239,90,6
157,257,90,7
172,268,-1,0
138,388,-90,12
156,388,-90,13
164,388,-90,12
182,388,-90,13
157,394,0,9
141,393,0,13
188,348,-1,0
180,333,-90,9
562,333,-90,11
510,333,-90,11
420,389,-90,14
446,389,-90,14
482,389,-90,15
472,389,-90,14
458,333,-90,11
351,278,-90,8
458,278,-90,10
492,284,-1,0
624,286,180,10
412,283,180,7
412,286,180,8
428,268,-1,0
362,291,90,7
388,291,90,7
336,291,90,7
258,291,90,7
247,347,90,8
252,308,-1,0
273,347,90,8
299,347,90,8
325,347,180,8
412,338,180,8
412,342,180,9
412,394,180,9
487,394,180,14
316,412,-1,0
462,393,0,15
448,394,0,11
394,389,0,14
362,404,90,9
388,404,90,9
448,368,90,11
458,347,90,10
510,347,90,10
484,347,90,10
476,332,-1,0
448,342,0,11
284,333,0,9
238,338,0,8
204,324,-1,0
232,333,-90,9
258,333,-90,9
310,333,-90,9
336,333,-90,9
362,333,-90,9
412,368,-90,9
388,333,-90,9
403,278,-90,8
468,308,-1,0
474,239,90,6
500,239,90,6
422,239,90,6
370,239,90,6
372,220,-1,0
396,239,180,6
412,231,180,7
196,220,-1,0
180,223,-90,7
258,223,-90,7
232,223,-90,7
310,223,-90,7
510,278,-90,10
562,278,-90,10
588,278,-90,10
624,312,-90,10
614,333,-90,11
612,389,-90,15
614,278,-90,10
626,234,-90,18
678,234,-90,18
679,201,-90,6
714,69,-90,23
693,170,-90,17
681,130,-90,17
691,334,-90,18
684,308,-1,0
714,362,90,23
766,362,90,23
797,297,90,21
812,244,-1,0
793,250,0,21
